Model Name产品名称（默认调用当前生产程序名）,Line Number 线体号（有界面可以自定义设置）,,,,,,,,
2022/10/21 11:35,,NOREAD,4,,NULL,75696,R67,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,132371,R8,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,75766,R81,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,419887,RR2,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,419908,RR3,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,419929,RR4,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,399969,U1,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,407551,U14,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,408622,U2,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,378812,U4,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,405719,U5,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,376912,U6,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2421,C1,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,3548,C102,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,312111,C104,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6021,C124,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,3556,C125,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6091,C129,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,3580,C130,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,102587,C147,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,102619,C149,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103227,C16,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,102917,C17,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,172985,C2,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103141,C23,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103718,C24,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103250,C29,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103294,C31,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105350,C34,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103353,C37,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103650,C38,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103368,C43,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103426,C44,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103487,C45,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6441,C46,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6406,C47,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,172995,C5,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105497,C50,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103592,C51,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,104110,C52,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,104404,C55,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,104455,C56,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,7084,C57,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103614,C58,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6439,C59,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,103951,C61,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,312121,C62,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105054,C63,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,104962,C67,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,6456,C69,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2491,C7,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105204,C71,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,3596,C72,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,364044,C74,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,364056,C75,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,364068,C76,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105444,C79,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,312131,C80,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,105548,C82,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,104193,C84,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,143476,L4,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,143484,L9,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75104,R1,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75189,R14,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,145681,R18,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2520,R192,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2521,R193,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2522,R194,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2523,R2,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2525,R209,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,117460,R210,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,117468,R211,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,146272,R215,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,61769,R216,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,61777,R217,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,61785,R218,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,61793,R219,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,76101,R222,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75295,R247,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2540,R28,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2541,R3,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2542,R30,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2543,R46,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2544,R47,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,2545,R48,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75416,R5,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,132379,R6,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75619,R66,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,76203,R67,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,132387,R8,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,75767,R81,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,419971,RR2,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,419992,RR3,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,420013,RR4,Good,
2022/10/21 11:35,F:\DataExport\MYC-Y6ULY2V2-256N256D-50-I-AKEDL\NOREAD_20221021113551\Component\SinicTek-AOI_NOREAD_1_5_20221021113551_20103.00006_[L7]_U1_2_91.jpg,NOREAD,5,,NULL,404246,U1,Pass,错件
2022/10/21 11:35,,NOREAD,5,,NULL,407747,U14,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,408648,U2,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,378815,U4,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,405723,U5,Good,
2022/10/21 11:35,,NOREAD,5,,NULL,376992,U6,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2572,C1,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,3604,C102,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,312151,C104,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6025,C124,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,3612,C125,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6224,C129,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,3636,C130,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,102588,C147,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,102624,C149,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104816,C16,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,102800,C17,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,173035,C2,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103253,C23,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103272,C24,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103739,C29,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104274,C31,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105061,C34,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105193,C37,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103803,C38,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105539,C43,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103833,C44,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104023,C45,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6824,C46,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6461,C47,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,173045,C5,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,103908,C50,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104017,C51,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104804,C52,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105260,C55,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105322,C56,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6837,C57,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104084,C58,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6973,C59,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105362,C61,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,312161,C62,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105505,C63,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104595,C67,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,6670,C69,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2642,C7,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104469,C71,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,3652,C72,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,364092,C74,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,364104,C75,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,364116,C76,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105424,C79,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,312171,C80,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,105482,C82,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,104480,C84,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,143492,L4,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,143500,L9,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75112,R1,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75299,R14,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,145697,R18,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2671,R192,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2672,R193,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2673,R194,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2674,R2,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2676,R209,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,117484,R210,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,117492,R211,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,146280,R215,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,61801,R216,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,61809,R217,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,61817,R218,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,61825,R219,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75457,R222,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75523,R245,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75805,R247,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2691,R28,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2692,R3,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2693,R30,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2694,R46,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2695,R47,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,2696,R48,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,76275,R5,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,132395,R6,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75871,R66,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,75824,R67,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,132403,R8,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,76183,R81,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,420055,RR2,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,420076,RR3,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,420097,RR4,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,404271,U1,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,407943,U14,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,408649,U2,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,378818,U4,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,405727,U5,Good,
2022/10/21 11:35,,NOREAD,6,,NULL,377072,U6,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2723,C1,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,3660,C102,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,312191,C104,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6032,C124,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,3668,C125,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6097,C129,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,3692,C130,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,102589,C147,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,102625,C149,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,102746,C16,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,102844,C17,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,173085,C2,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103103,C23,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,102963,C24,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103163,C29,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103224,C31,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103362,C34,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104879,C37,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,105174,C38,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,105579,C43,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103258,C44,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103299,C45,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6352,C46,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6504,C47,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,173095,C5,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104355,C50,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,105069,C51,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,105351,C52,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103558,C55,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103615,C56,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6884,C57,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103589,C58,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6558,C59,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104268,C61,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,312201,C62,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104413,C63,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,103990,C67,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,6994,C69,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2793,C7,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,105173,C71,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,3708,C72,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,364140,C74,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,364152,C75,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,364164,C76,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104111,C79,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,312211,C80,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104425,C82,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,104258,C84,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,143508,L4,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,143516,L9,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75138,R1,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75262,R14,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,145713,R18,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2822,R192,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2823,R193,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2824,R194,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2825,R2,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2827,R209,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,117508,R210,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,117516,R211,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,146281,R215,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,61833,R216,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,61841,R217,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,61849,R218,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,61857,R219,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75773,R222,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75944,R245,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75302,R247,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2842,R28,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2843,R3,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2844,R30,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2845,R46,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2846,R47,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,2847,R48,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75449,R5,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,132411,R6,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,76246,R66,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75581,R67,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,132419,R8,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,75898,R81,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,420139,RR2,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,420160,RR3,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,420181,RR4,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,399970,U1,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,408139,U14,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,408675,U2,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,378821,U4,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,405728,U5,Good,
2022/10/21 11:35,,NOREAD,7,,NULL,377152,U6,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2874,C1,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,3716,C102,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,312231,C104,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6036,C124,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,3724,C125,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6090,C129,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,3748,C130,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,102590,C147,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,102635,C149,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,102776,C16,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103091,C17,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,173126,C2,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104722,C23,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,102965,C24,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104280,C29,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104340,C31,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103213,C34,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103288,C37,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103652,C38,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104960,C43,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103502,C44,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103561,C45,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6409,C46,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6605,C47,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,173136,C5,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103746,C50,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104961,C51,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103850,C52,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104190,C55,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,103923,C56,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6411,C57,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104042,C58,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6477,C59,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104674,C61,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,312232,C62,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104720,C63,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104836,C67,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,6672,C69,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2944,C7,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104452,C71,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,3764,C72,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,364188,C74,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,364200,C75,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,364212,C76,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104964,C79,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,312242,C80,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,105272,C82,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,104463,C84,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,143524,L4,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,143532,L9,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75216,R1,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75313,R14,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,145729,R18,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2973,R192,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2974,R193,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2975,R194,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2976,R2,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2978,R209,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,117532,R210,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,117540,R211,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,146289,R215,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,61865,R216,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,61873,R217,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,61881,R218,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,61889,R219,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75436,R222,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75602,R245,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75529,R247,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2993,R28,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2994,R3,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2995,R30,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2996,R46,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2997,R47,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,2998,R48,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75646,R5,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,132427,R6,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75769,R66,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75945,R67,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,132435,R8,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,75930,R81,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,420223,RR2,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,420244,RR3,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,420265,RR4,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,405736,U1,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,408335,U14,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,408701,U2,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,378824,U4,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,405732,U5,Good,
2022/10/21 11:35,,NOREAD,8,,NULL,377232,U6,Good,
