Model name 程序名,Line number 生产线,,,,,,,,,,,,,,,,,,
F19-A-TOP-115#,SMT01,,,,,,,,,,,,,,,,,,
Board Status 整板状态,NG （共四个状态：NG(最终确认为不良）/OK（设备测试为全部良品）/PASS（设备判定不良，人工判定可通过）/SKIP（忽略板）),Board Barcode 整板条码,,Bbarcode 副条码,,,,,,,,,,,,,,,
ArrayID拼板编号,1,Array Status 拼板状态,OK 共四个状态：NG(最终确认为不良）/OK（设备测试为全部良品）/PASS（设备判定不良，人工判定可通过）/SKIP（忽略板）),Array Barcode 拼板条码,ABarcode1,,,,,,,,,,,,,,
ArrayID,2,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,3,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,4,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,5,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,6,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,7,Array Status,SKIP,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,8,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,9,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,10,Array Status,NG,Array Barcode,ABarcode2,,,,,,,,,,,,,,
PadID,ComponentID,Type,Area(%),Height,Volume(%),XOffset,YOffset,PadSize(X),PadSize(Y),Area,Height(%),Volume,Result,Errcode,PinNum,Barcode,Date,Time,ArrayID
焊盘编号,位置编号,形状,面积百分比,高度绝对值,体积百分比,X偏移量,Y偏移量,焊盘宽,焊盘长,面积绝对值,高度百分比,体积绝对值,检测结果,不良代码，可以在设备上自定义,引脚编号,拼板条码,日期,时间,拼板编号
1,C8,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,1,BBarcode,20160616,134053,10
2,C8,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,2,BBarcode,20160616,134053,10
3,C7,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,1,BBarcode,20160616,134053,10
4,C7,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,2,BBarcode,20160616,134053,10
5,C16,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,1,BBarcode,20160616,134053,10
6,C16,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,2,BBarcode,20160616,134053,10
7,C9,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,1,BBarcode,20160616,134053,10
8,C9,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,2,BBarcode,20160616,134053,10
9,S5,S,0,0,0,0,0,0.5,1.599,0,0,0,NG,1024,1,BBarcode,20160616,134053,10
10,S5,S,0,0,0,0,0,0.5,1.599,0,0,0,NG,1024,2,BBarcode,20160616,134053,10
11,MC1,M,249.9444,0,0,0,-0.003419647,0.33,0.6,0.4400023,0,0,NG,1024,1,BBarcode,20160616,134053,10
12,MC1,M,232.2232,0,0,0,-0.003419647,0.33,0.6,0.465236,0,0,NG,1024,2,BBarcode,20160616,134053,10
13,MC1,M,232.2232,0,0,0,-0.003419647,0.33,0.6,0.465236,0,0,NG,1024,3,BBarcode,20160616,134053,10
14,MC1,M,232.2232,0,0,0,-0.003419647,0.33,0.6,0.465236,0,0,NG,1024,4,BBarcode,20160616,134053,10
15,MC1,M,231.3835,0,0,0,-0.003419647,0.33,0.6,0.4635538,0,0,NG,1024,5,BBarcode,20160616,134053,10
16,MC1,M,249.9444,0,0,0,-0.003419647,0.33,0.6,0.4400023,0,0,NG,1024,6,BBarcode,20160616,134053,10
17,MC1,M,187.5119,0,0,0,-0.003419647,1.484,1.474,1.581504,0,0,NG,1024,7,BBarcode,20160616,134053,10
18,MC1,M,188.7592,0,0,0,0,1.488,1.477,1.590476,0,0,NG,1024,8,BBarcode,20160616,134053,10
19,J1,J,309.6316,0,0,0.00341623,0,0.615,0.15,0.2816837,0,0,NG,1024,1,BBarcode,20160616,134053,10
20,J1,J,309.6316,0,0,0.00341623,0,0.615,0.15,0.2816837,0,0,NG,1024,2,BBarcode,20160616,134053,10
21,J1,J,309.6316,0,0,0.00341623,0,0.615,0.15,0.2816837,0,0,NG,1024,3,BBarcode,20160616,134053,10
22,J1,J,0,0,0,0,0,0.615,0.15,0,0,0,NG,1024,4,BBarcode,20160616,134053,10
23,J1,J,242.6891,0,0,0.00341623,0,0.35,0.45,0.3915908,0,0,NG,1024,5,BBarcode,20160616,134053,10
24,J1,J,0,0,0,0,0,0.615,0.15,0,0,0,NG,1024,6,BBarcode,20160616,134053,10
25,J1,J,0,0,0,0,0,0.615,0.15,0,0,0,NG,1024,7,BBarcode,20160616,134053,10
26,J1,J,276.1412,0,0,0.00341623,0.003419647,0.615,0.15,0.2512162,0,0,OK,,8,BBarcode,20160616,134053,10
27,J1,J,309.6316,0,0,0.00341623,0,0.615,0.15,0.2816837,0,0,OK,,9,BBarcode,20160616,134053,10
28,J1,J,282.0996,0,0,0.00341623,0,0.615,0.15,0.2566368,0,0,OK,,10,BBarcode,20160616,134053,10
29,J1,J,0,0,0,0,0,0.35,0.45,0,0,0,OK,,11,BBarcode,20160616,134053,10
30,J1,J,0,0,0,0,0,0.35,0.45,0,0,0,OK,,12,BBarcode,20160616,134053,10
31,J1,J,242.6891,0,0,0.00341623,0,0.35,0.45,0.3915908,0,0,OK,,13,BBarcode,20160616,134053,10
32,J1,J,0,0,0,0,0,0.615,0.15,0,0,0,OK,,14,BBarcode,20160616,134053,10
